SHEET	02_	A4
K009		Главная	https://www.drawio.com	«Professional diagramming without the enterprise price tag or privacy compromises»; «No account required. No credit card»	Товар / цена	5	2026-09-23	Бесплатный заменитель для той же аудитории	5	Рисунки/scr_18_drawio_main.png	архив ЛР5 (DiagramCode), снято 2026-09-23
K009		Интеграции	https://www.drawio.com	Google Drive/Docs, SharePoint/OneDrive/Teams, Confluence/Jira, GitHub, VS Code, Notion; «100M+ users»	Каналы / доверие	4	2026-09-23	Сильные каналы и зрелость (C9 = 5)	4	Рисунки/scr_18_drawio_main.png	архив ЛР5 (DiagramCode), снято 2026-09-23
K009		SimilarWeb	https://www.similarweb.com/website/app.diagrams.net/	≈7,8 млн визитов; прямые заходы 68,65 %	Видимость	4	2026-09-23	На порядок крупнее нишевых DSL-инструментов	4	Рисунки/scr_19_sw_drawio.png	SimilarWeb, архив ЛР2-3
K010		Продукт	https://www.lucidchart.com	Коммерческий SaaS; генерация диаграммы по описанию; сильная совместная работа	Товар / монетизация	3	2026-09-17	Графический заменитель с AI	3	🔲 Рисунки/scr_20_lucidchart.png	00-competitive-analysis.md (VisualDSL), сверено 2026-09-17
K011		Продукт	https://camunda.com/download/modeler/	Только BPMN (XML BPMN 2.0), исполнение в движке процессов	Товар	4	2026-09-17	Узкая замена BPMN-части	4	🔲 Рисунки/scr_21_camunda.png	00-competitive-analysis.md (VisualDSL), сверено 2026-09-17
K012		Продукт	🔲 URL Ramus	IDEF0/IDEF1X/IDEF3, используется в курсах методологий СНГ; устаревший UX	Товар / аудитория	3	2026-09-17	Совпадение задачи и аудитории по IDEF	3	🔲 Рисунки/scr_22_ramus.png	00-competitive-analysis.md (VisualDSL), сверено 2026-09-17
K012		Лицензия	🔲 URL Ramus	Настольное приложение с платной лицензией, без текстового представления и Git	Цена / монетизация	3	2026-09-17	Иная экономика (C5 = 2, C8 = 1); Educational — проверить	3	🔲 Рисунки/scr_22_ramus.png	01-project-concept.md (NotaCode)
K013		Главная / тарифы	https://online.visual-paradigm.com	🔲 ДОСНЯТЬ: перечень нотаций, Free-план, цены	Товар / цена	1	🔲 дата просмотра	Оценка предварительная	1	🔲 Рисунки/scr_23_vpo.png	🔲 проверить на сайте
K014		Категория	https://miro.com	GUI-первая онлайн-доска (категория «Miro/FigJam»)	Товар	2	2026-09-17	Смежный рынок	2	—	00-competitive-analysis.md (VisualDSL), сверено 2026-09-17
K015		Лицензия	https://www.microsoft.com/microsoft-365/visio	Настольная лицензия / Microsoft 365	Монетизация	3	2026-09-17	Иная экономика	3	—	архив ЛР5 (DiagramCode), снято 2026-09-17
K016		Лицензия	https://sparxsystems.com	Настольное CASE-средство с платной лицензией, без текста и Git	Монетизация / товар	3	2026-09-17	Иная экономика и формат	3	—	01-project-concept.md (NotaCode)
K017		Продукт	https://graphviz.org	Open source, язык DOT, алгоритмы раскладки (dot/neato)	Товар	4	2026-09-17	Технология, а не товар для той же задачи	4	—	kursach.md (NotaCode, таблица инструментов)
K018		Продукт	https://kroki.io	HTTP-агрегатор рендеринга разных DSL	Товар	4	2026-09-17	Агрегатор без собственного товара — исключить	4	—	kursach.md (NotaCode, таблица инструментов)
K019		Поведение пользователей	https://chatgpt.com	AI генерирует код диаграммы, рендер и проверка — вручную вне инструмента	Заменяемость	3	2026-09-17	Потенциальная угроза	3	—	архив ЛР5 (DiagramCode), снято 2026-09-17
K020		Категория	https://www.figma.com/figjam/	Онлайн-доска / дизайн-инструмент без нотаций	Товар	2	🔲 дата просмотра	Не конкурент	2	—	архив ЛР5 (исключённые)
